Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10pF","C_0402_1005Metric",63.010000,-71.550000,90.000000,top
"C2","0u1F","C_0402_1005Metric",106.500000,-63.742000,90.000000,top
"C3","10pF","C_0402_1005Metric",70.180000,-72.010000,90.000000,top
"C4","0u1F","C_0402_1005Metric",67.500000,-67.500000,180.000000,top
"C5","100nF","C_0402_1005Metric",117.180000,-99.222000,-90.000000,top
"C6","0u1F","C_0402_1005Metric",66.060000,-30.300000,0.000000,top
"C7","0u1F","C_0402_1005Metric",66.400000,-22.700000,0.000000,top
"C8","10uF","C_0603_1608Metric",75.560000,-69.860000,0.000000,top
"C9","47pF","C_0603_1608Metric",45.600000,-104.400000,0.000000,top
"C10","10uF","C_0603_1608Metric",88.000000,-43.000000,90.000000,top
"C11","47pF","C_0603_1608Metric",41.580000,-102.350000,180.000000,top
"C12","10uF","C_0603_1608Metric",74.180000,-67.500000,0.000000,top
"C13","0u1F","C_0402_1005Metric",57.000000,-63.513000,90.000000,top
"C14","0u1F","C_0402_1005Metric",76.040000,-63.980000,-90.000000,top
"C15","0u1F","C_0402_1005Metric",115.520000,-69.550000,0.000000,top
"C16","0u1F","C_0402_1005Metric",115.500000,-72.550000,0.000000,top
"C17","22uF","C_1206_3216Metric",102.770000,-50.200000,-90.000000,top
"C18","100nF","C_0402_1005Metric",91.940000,-51.410000,0.000000,top
"C19","10uF","C_0603_1608Metric",84.010000,-42.190000,0.000000,top
"C20","0u1F","C_0402_1005Metric",76.400000,-51.829000,-90.000000,top
"C21","0u1F","C_0402_1005Metric",63.000000,-67.980000,-90.000000,top
"C22","0u1F","C_0402_1005Metric",59.800000,-47.800000,0.000000,top
"C23","1uF","C_0402_1005Metric",74.886000,-50.055000,0.000000,top
"C24","22pF","C_0603_1608Metric",99.600000,-51.400000,-90.000000,top
"C25","22uF","C_0402_1005Metric",79.610000,-41.890000,180.000000,top
"C26","10uF","C_0603_1608Metric",85.920000,-47.910000,0.000000,top
"D0","LED","C_0603_1608Metric",74.225000,-101.000000,180.000000,top
"D1","LED","C_0603_1608Metric",74.225000,-96.000000,180.000000,top
"D2","LED","C_0603_1608Metric",74.225000,-91.000000,180.000000,top
"F1","500mA","Fuse_1206_3216Metric",49.500000,-103.000000,90.000000,top
"FB1","2k Ohms at 100MHz","C_0603_1608Metric",93.320000,-44.570000,180.000000,top
"FB2","2k Ohms at 100MHz","C_0603_1608Metric",70.500000,-68.000000,90.000000,top
"FB3","2k Ohms at 100MHz","C_0603_1608Metric",83.500000,-44.500000,-90.000000,top
"J2","EXTERNAL_POWER/CONNECTOR","PinHeader_1x16_P2.00mm_Vertical",75.000000,-39.000000,90.000000,top
"J10","SWD connector","PinHeader_2x10_P2.00mm_Vertical",65.500000,-27.000000,90.000000,top
"J11","PORTE/CONNECTOR","PinHeader_1x16_P2.00mm_Vertical",37.000000,-43.500000,0.000000,top
"J12","USB_B","USB_B_Amphenol_MUSB-D511_Vertical_Rugged",46.230000,-109.890000,0.000000,top
"J13","PORTC/CONNECTOR","PinHeader_1x16_P2.00mm_Vertical",75.000000,-78.000000,90.000000,top
"J15","PORTA/CONNECTOR","PinHeader_1x16_P2.00mm_Vertical",40.000000,-78.000000,90.000000,top
"J16","PORTB/CONNECTOR","PinHeader_1x16_P2.00mm_Vertical",40.000000,-39.000000,90.000000,top
"L1","4u7H","L_0805_2012Metric",96.662500,-51.961000,0.000000,top
"Q1","Si7141DP","TSOP-5_1.65x3.05mm_P0.95mm",49.500000,-98.500000,-90.000000,top
"R1","1k Ohms","C_0402_1005Metric",33.515000,-34.414000,90.000000,top
"R2","270 Ohms","C_0402_1005Metric",71.191500,-96.001000,180.000000,top
"R3","270 Ohms","C_0402_1005Metric",71.203500,-91.001000,180.000000,top
"R6","2K2 Ohms","C_0402_1005Metric",63.500000,-45.020000,90.000000,top
"R7","10k Ohms","C_0402_1005Metric",116.144000,-93.775000,-90.000000,top
"R8","5k Ohms","C_0402_1005Metric",116.905000,-97.500000,0.000000,top
"R9","2K2 Ohms","C_0402_1005Metric",64.040000,-47.500000,90.000000,top
"R10","27 Ohms","C_0402_1005Metric",44.860000,-100.480000,-90.000000,top
"R11","27 Ohms","C_0402_1005Metric",41.230000,-99.790000,-90.000000,top
"R17","40k2 Ohms","C_0402_1005Metric",97.810000,-48.260000,90.000000,top
"R18","13k Ohms","C_0402_1005Metric",99.860000,-48.070000,0.000000,top
"R19","10k Ohms","C_0402_1005Metric",71.191500,-101.500000,90.000000,top
"SW2","~","SW_SPDT_PCM12",28.845000,-31.780000,-90.000000,top
"SW4","SW_Push","SW_PUSH-12mm",100.760000,-93.500000,0.000000,top
"U1","STM32F072VBTx","LQFP-100_14x14mm_P0.5mm",66.500000,-57.675000,90.000000,top
"U2","FT230XQ","QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",109.975000,-65.525000,0.000000,top
"U3","DIO6970","SOT-23-6",89.800000,-47.400000,-90.000000,top
"Y2","32 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",66.310000,-71.350000,180.000000,top
